TANGGAL,RR
1/1/2021,28
2/1/2021,21.3
3/1/2021,1.5
4/1/2021,0.6
5/1/2021,55.3
6/1/2021,15.8
7/1/2021,3.6
8/1/2021,9
9/1/2021,7.8
10/1/2021,2.2
11/1/2021,52.4
12/1/2021,1.3
13-01-2021,10.7
14-01-2021,0.1
15-01-2021,4.8
16-01-2021,1
17-01-2021,1.4
18-01-2021,12.2
19-01-2021,39.3
20-01-2021,2
21-01-2021,0
22-01-2021,0
23-01-2021,0.4
24-01-2021,0
25-01-2021,14.6
26-01-2021,26.9
27-01-2021,13.4
28-01-2021,17.5
29-01-2021,1.2
30-01-2021,25.3
31-01-2021,3.9
1/2/2021,7
2/2/2021,36.6
3/2/2021,16.3
4/2/2021,53.6
5/2/2021,29.6
6/2/2021,11.4
7/2/2021,0
8/2/2021,5.4
9/2/2021,5.5
10/2/2021,16.6
11/2/2021,0
12/2/2021,0.4
13-02-2021,13.8
14-02-2021,0
15-02-2021,5.9
16-02-2021,49.2
17-02-2021,14.6
18-02-2021,1
19-02-2021,18.5
20-02-2021,0
21-02-2021,2.8
22-02-2021,14.2
23-02-2021,1.6
24-02-2021,11.8
25-02-2021,5.9
26-02-2021,5
27-02-2021,14.7
28-02-2021,145
1/3/2021,0
2/3/2021,0
3/3/2021,22.3
4/3/2021,0.3
5/3/2021,1
6/3/2021,0
7/3/2021,0
8/3/2021,11.7
9/3/2021,6.7
10/3/2021,12.6
11/3/2021,1.9
12/3/2021,14
13-03-2021,38.4
14-03-2021,6.7
15-03-2021,19.1
16-03-2021,3.2
17-03-2021,0
18-03-2021,36.1
19-03-2021,26.8
20-03-2021,1
21-03-2021,15.9
22-03-2021,0.8
23-03-2021,0
24-03-2021,15.9
25-03-2021,0
26-03-2021,41.9
27-03-2021,10.1
28-03-2021,1.9
29-03-2021,0
30-03-2021,0
31-03-2021,11.4
1/4/2021,11
2/4/2021,56.9
3/4/2021,2.8
4/4/2021,1.2
5/4/2021,10.6
6/4/2021,1.6
7/4/2021,0.5
8/4/2021,1.9
9/4/2021,15.3
10/4/2021,20.7
11/4/2021,0
12/4/2021,0
13-04-2021,0
14-04-2021,0
15-04-2021,1.3
16-04-2021,0
17-04-2021,0
18-04-2021,0
19-04-2021,0
20-04-2021,0
21-04-2021,0
22-04-2021,0
23-04-2021,0
24-04-2021,0
25-04-2021,0
26-04-2021,0
27-04-2021,0
28-04-2021,0
29-04-2021,0
30-04-2021,0
1/5/2021,0
2/5/2021,0
3/5/2021,0
4/5/2021,0
5/5/2021,0.7
6/5/2021,5.7
7/5/2021,0
8/5/2021,5
9/5/2021,0
10/5/2021,0
11/5/2021,0
12/5/2021,0
13-05-2021,0
14-05-2021,0
15-05-2021,0
16-05-2021,0
17-05-2021,0
18-05-2021,0
19-05-2021,0
20-05-2021,0.1
21-05-2021,47.9
22-05-2021,0
23-05-2021,1.4
24-05-2021,8
25-05-2021,15.5
26-05-2021,0
27-05-2021,0
28-05-2021,0
29-05-2021,0.6
30-05-2021,0
31-05-2021,5.8
1/6/2021,1.1
2/6/2021,0.2
3/6/2021,0
4/6/2021,0
5/6/2021,0
6/6/2021,0
7/6/2021,19.6
8/6/2021,1
9/6/2021,0
10/6/2021,0
11/6/2021,0.2
12/6/2021,1
13-06-2021,18.3
14-06-2021,0
15-06-2021,0
16-06-2021,0
17-06-2021,0
18-06-2021,0
19-06-2021,0
20-06-2021,0.5
21-06-2021,0
22-06-2021,118.8
23-06-2021,6.2
24-06-2021,0.5
25-06-2021,12.6
26-06-2021,0
27-06-2021,26.3
28-06-2021,0
29-06-2021,0
30-06-2021,0
1/7/2021,2.2
2/7/2021,0
3/7/2021,0
4/7/2021,0
5/7/2021,0
6/7/2021,0
7/7/2021,0
8/7/2021,0
9/7/2021,6.5
10/7/2021,7.2
10/7/2021,7.2
11/7/2021,1.1
12/7/2021,0
13-07-2021,0
14-07-2021,0
15-07-2021,0
16-07-2021,0
17-07-2021,0
18-07-2021,0
19-07-2021,0
20-07-2021,0
21-07-2021,0
22-07-2021,0
23-07-2021,0
24-07-2021,0
25-07-2021,0
26-07-2021,0
27-07-2021,0
28-07-2021,0
29-07-2021,0
30-07-2021,0
31-07-2021,0
1/8/2021,0.3
2/8/2021,0
3/8/2021,0
4/8/2021,0
5/8/2021,10.5
6/8/2021,0
7/8/2021,0
7/8/2021,0
8/8/2021,0
9/8/2021,3
10/8/2021,1.2
11/8/2021,0
12/8/2021,0
13-08-2021,0
14-08-2021,8
15-08-2021,0
16-08-2021,0
17-08-2021,0
18-08-2021,0
19-08-2021,13.6
20-08-2021,0
21-08-2021,0
22-08-2021,0.2
23-08-2021,0.1
24-08-2021,0
25-08-2021,0
26-08-2021,0
27-08-2021,0
28-08-2021,0
29-08-2021,0
30-08-2021,0
31-08-2021,0
1/9/2021,0
2/9/2021,0
3/9/2021,0
4/9/2021,0
5/9/2021,0
6/9/2021,0
7/9/2021,0
8/9/2021,0
9/9/2021,0
10/9/2021,0
11/9/2021,0
12/9/2021,71.5
13-09-2021,0
14-09-2021,0.4
15-09-2021,8.6
16-09-2021,0
17-09-2021,0
18-09-2021,0
18-09-2021,0
19-09-2021,0.2
20-09-2021,0
21-09-2021,0
22-09-2021,26.3
23-09-2021,0
24-09-2021,0
25-09-2021,0
26-09-2021,0
27-09-2021,0
28-09-2021,0
29-09-2021,0
30-09-2021,0
1/10/2021,0
2/10/2021,0
3/10/2021,0
4/10/2021,0.6
5/10/2021,0
6/10/2021,0.9
7/10/2021,0.2
8/10/2021,0
9/10/2021,0
10/10/2021,0
11/10/2021,0
12/10/2021,0
13-10-2021,0
14-10-2021,0
15-10-2021,0
16-10-2021,7.2
17-10-2021,0
18-10-2021,3.7
19-10-2021,1.3
20-10-2021,27.7
21-10-2021,0
22-10-2021,13.5
23-10-2021,0
24-10-2021,10.8
25-10-2021,7.4
26-10-2021,25.3
27-10-2021,8.4
28-10-2021,0
29-10-2021,10.7
30-10-2021,8.4
31-10-2021,6.7
1/11/2021,8.1
2/11/2021,1.7
3/11/2021,49.1
4/11/2021,0
5/11/2021,6.6
6/11/2021,1
7/11/2021,0
8/11/2021,0
9/11/2021,0
10/11/2021,11
11/11/2021,21.6
12/11/2021,10.3
13-11-2021,2.8
14-11-2021,13.6
15-11-2021,20.5
16-11-2021,30.3
17-11-2021,16
18-11-2021,3.5
19-11-2021,3
20-11-2021,2.4
21-11-2021,1.6
22-11-2021,5
23-11-2021,6.6
24-11-2021,40.9
25-11-2021,36.4
26-11-2021,49.6
27-11-2021,4.2
28-11-2021,8.5
29-11-2021,3
30-11-2021,9.8
1/12/2021,6.2
2/12/2021,4
3/12/2021,0
4/12/2021,0.9
5/12/2021,22.6
6/12/2021,1.5
7/12/2021,10.5
8/12/2021,8.9
9/12/2021,55.4
10/12/2021,0
11/12/2021,5.5
12/12/2021,0
13-12-2021,0
14-12-2021,0
15-12-2021,0
16-12-2021,5.3
17-12-2021,2.5
18-12-2021,0
19-12-2021,37
20-12-2021,7
21-12-2021,22.6
22-12-2021,0.5
23-12-2021,0
24-12-2021,13
25-12-2021,7
26-12-2021,0
27-12-2021,0
28-12-2021,0
29-12-2021,2.5
30-12-2021,1.7
31-12-2021,0
1/1/2022,25.1
2/1/2022,6.4
3/1/2022,2.9
4/1/2022,0
5/1/2022,0.8
6/1/2022,0
7/1/2022,0
8/1/2022,0.2
9/1/2022,2.7
10/1/2022,26.6
11/1/2022,22.6
12/1/2022,17.9
13-01-2022,0
14-01-2022,0.6
15-01-2022,2.1
16-01-2022,4
17-01-2022,1.9
18-01-2022,21.4
19-01-2022,31.3
20-01-2022,8.7
21-01-2022,26.3
22-01-2022,0.3
23-01-2022,2.7
24-01-2022,0
25-01-2022,0
26-01-2022,0
27-01-2022,2.8
28-01-2022,1.8
29-01-2022,0
30-01-2022,1.5
31-01-2022,5.5
1/2/2022,12.5
2/2/2022,47.4
3/2/2022,1.2
4/2/2022,36.4
5/2/2022,0
6/2/2022,3.6
7/2/2022,55
8/2/2022,2.3
9/2/2022,5.6
10/2/2022,42
11/2/2022,1.2
12/2/2022,32.6
13-02-2022,4.8
14-02-2022,0.4
15-02-2022,3.7
16-02-2022,41.2
17-02-2022,0
18-02-2022,2.2
19-02-2022,6.2
20-02-2022,0
21-02-2022,0
22-02-2022,3.2
23-02-2022,0
24-02-2022,0
25-02-2022,1.3
26-02-2022,37
27-02-2022,12.3
28-02-2022,0.4
1/3/2022,1.5
2/3/2022,0.4
3/3/2022,5.3
4/3/2022,8.5
5/3/2022,9.9
6/3/2022,0
7/3/2022,0
8/3/2022,47
9/3/2022,16.4
10/3/2022,62.8
11/3/2022,1.8
12/3/2022,0
13-03-2022,5
14-03-2022,12.8
15-03-2022,89.4
16-03-2022,3.2
17-03-2022,1
18-03-2022,0
19-03-2022,46.6
20-03-2022,3.5
21-03-2022,1.5
22-03-2022,9.5
23-03-2022,1
24-03-2022,5.5
25-03-2022,0
26-03-2022,0
27-03-2022,3
28-03-2022,4.7
29-03-2022,5
30-03-2022,3.4
31-03-2022,0
1/4/2022,21
2/4/2022,18.3
3/4/2022,6.2
4/4/2022,7.5
5/4/2022,95.7
6/4/2022,3.5
7/4/2022,0.5
8/4/2022,0
9/4/2022,26
10/4/2022,18.2
