Waktu,Tipe Kejadian,Kabupaten / Kota,Cuaca,Tingkatan
30/10/2025 07.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
30/10/2025 06.00.00,Banjir,Situbondo Kabupaten,Hujan Lebat,RENDAH
28/10/2025 16.00.00,Banjir,Blitar Kabupaten,Hujan,RENDAH
28/10/2025 15.30.00,Banjir,Blitar Kota,Hujan,RENDAH
27/10/2025 03.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,RENDAH
26/10/2025 18.00.00,Banjir,Bojonegoro Kabupaten,Hujan Sedang,RENDAH
25/10/2025 21.30.00,Banjir,Nganjuk Kabupaten,Hujan Lebat,RENDAH
25/10/2025 06.30.00,Banjir,Gresik Kabupaten,Hujan,RENDAH
24/10/2025 23.00.00,Banjir,Lumajang Kabupaten,Hujan,SEDANG
24/10/2025 18.30.00,Banjir,Jember Kabupaten,Hujan lebat,RENDAH
24/10/2025 18.00.00,Banjir,Jember Kabupaten,Hujan Lebat,RENDAH
24/10/2025 14.00.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
23/10/2025 16.30.00,Banjir,Lamongan Kabupaten,Hujan,RENDAH
22/10/2025 17.30.00,Banjir,Pasuruan Kota,Hujan lebat,RENDAH
22/10/2025 16.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,SEDANG
22/10/2025 16.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,SEDANG
22/10/2025 13.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,RENDAH
22/10/2025 13.00.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
22/10/2025 12.50.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,RENDAH
21/10/2025 16.12.58,Banjir,Bojonegoro Kabupaten,Hujan Sedang,RENDAH
15/10/2025 15.30.00,Banjir,Lumajang Kabupaten,Hujan,RENDAH
15/10/2025 15.00.00,Banjir,Batu Kota,Hujan,RENDAH
10/10/2025 15.30.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
07/10/2025 16.00.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
30/09/2025 17.00.00,Banjir,Lumajang Kabupaten,Hujan,RENDAH
20/09/2025 00.30.00,Banjir,Malang Kabupaten,Hujan,SEDANG
18/09/2025 18.30.00,Banjir,Lumajang Kabupaten,Hujan Lebat,RENDAH
17/09/2025 17.00.00,Banjir,Lumajang Kabupaten,Hujan Lebat,RENDAH
10/09/2025 11.00.00,Banjir,Jember Kabupaten,Hujan Lebat,RENDAH
10/09/2025 07.00.00,Banjir,Lumajang Kabupaten,Hujan Lebat,RENDAH
20/08/2025 15.48.00,Banjir,Pacitan Kabupaten,Hujan Lebat,SEDANG
19/08/2025 19.00.00,Banjir,Lumajang Kabupaten,Hujan Sedang - Lebat,RENDAH
19/08/2025 17.30.00,Banjir,Trenggalek Kabupaten,Hujan Sedang - Lebat,RENDAH
19/08/2025 17.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,RENDAH
19/08/2025 15.00.00,Banjir,Lumajang Kabupaten,Hujan,RENDAH
05/08/2025 19.10.00,Banjir,Mojokerto Kabupaten,Cerah Berawan,RENDAH
04/08/2025 15.30.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
28/07/2025 20.00.00,Banjir,Lumajang Kabupaten,Hujan Lebat,SEDANG
14/07/2025 17.20.00,Banjir,Lamongan Kabupaten,Hujan Lebat,RENDAH
07/07/2025 14.00.00,Banjir,Bangkalan Kabupaten,Hujan Lebat,SEDANG
03/07/2025 15.50.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
29/06/2025 09.00.00,Banjir,Bondowoso Kabupaten,Berawan,RENDAH
29/06/2025 05.00.00,Banjir,Trenggalek Kabupaten,Cerah Berawan,RENDAH
28/06/2025 22.00.00,Banjir Bandang,Jember Kabupaten,Hujan Lebat,SEDANG
28/06/2025 06.30.00,Banjir,Pacitan Kabupaten,Hujan,RENDAH
28/06/2025 06.30.00,Banjir,Trenggalek Kabupaten,Hujan,RENDAH
17/06/2025 02.00.00,Banjir,Sampang Kabupaten,Hujan,RENDAH
16/06/2025 22.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
16/06/2025 21.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,RENDAH
15/06/2025 19.10.00,Banjir,Nganjuk Kabupaten,Cerah,RENDAH
14/06/2025 16.30.00,Banjir,Blitar Kabupaten,Hujan lebat,SEDANG
13/06/2025 18.30.00,Banjir,Malang Kabupaten,Hujan,RENDAH
09/06/2025 19.00.00,Banjir,Gresik Kabupaten,Hujan,RENDAH
09/06/2025 10.00.00,Banjir,Tuban Kabupaten,Hujan,RENDAH
09/06/2025 05.00.00,Banjir,Jombang Kabupaten,Hujan Ringan,SEDANG
09/06/2025 05.00.00,Banjir,Lamongan Kabupaten,Berawan,SEDANG
09/06/2025 05.00.00,Banjir,Gresik Kabupaten,Cerah berawan - Hujan Sedang,TINGGI
09/06/2025 04.30.00,Banjir,Sidoarjo Kabupaten,Cerah Berawan,RENDAH
09/06/2025 04.00.00,Banjir,Gresik Kabupaten,Hujan,RENDAH
09/06/2025 02.30.00,Banjir,Mojokerto Kabupaten,Hujan Ringan,SEDANG
09/06/2025 02.30.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,SEDANG
05/06/2025 01.00.00,Banjir,Trenggalek Kabupaten,Hujan Lebat,RENDAH
04/06/2025 23.00.00,Banjir,Tulungagung Kabupaten,Hujan Sedang - Lebat,RENDAH
04/06/2025 00.00.00,Banjir,Tulungagung Kabupaten,Hujan,RENDAH
31/05/2025 15.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,RENDAH
29/05/2025 10.00.00,Banjir Rob,Sampang Kabupaten,Cerah,RENDAH
29/05/2025 09.00.00,Banjir Rob,Pasuruan Kota,Berawan,RENDAH
29/05/2025 08.00.00,Banjir Rob,Surabaya Kota,Cerah,RENDAH
28/05/2025 10.00.00,Banjir Rob,Probolinggo Kabupaten,Cerah Berawan,RENDAH
28/05/2025 10.00.00,Banjir Rob,Sampang Kabupaten,Cerah Berawan,RENDAH
28/05/2025 09.00.00,Banjir Rob,Gresik Kabupaten,Cerah,RENDAH
28/05/2025 09.00.00,Banjir Rob,Pasuruan Kota,Cerah,RENDAH
27/05/2025 08.30.00,Banjir Rob,Pasuruan Kota,Berawan,RENDAH
25/05/2025 13.00.00,Banjir,Banyuwangi Kabupaten,Hujan,RENDAH
24/05/2025 22.30.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,SEDANG
24/05/2025 01.00.00,Banjir,Probolinggo Kota,Hujan,RENDAH
22/05/2025 19.00.00,Banjir dan Tanah Longsor,Malang Kabupaten,Hujan lebat,SEDANG
21/05/2025 12.37.38,Banjir,Bojonegoro Kabupaten,Hujan Lebat,SEDANG
21/05/2025 05.00.00,Banjir,Tulungagung Kabupaten,Hujan lebat,RENDAH
19/05/2025 19.39.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
19/05/2025 19.10.00,Banjir,Trenggalek Kabupaten,Hujan Lebat,SEDANG
19/05/2025 18.30.00,Banjir,Trenggalek Kabupaten,Hujan Lebat,TINGGI
19/05/2025 17.05.00,Banjir,Lamongan Kabupaten,Hujan Lebat,RENDAH
19/05/2025 16.20.00,Banjir,Kediri Kabupaten,Hujan Lebat,RENDAH
19/05/2025 16.00.00,Banjir,Tuban Kabupaten,Hujan,RENDAH
19/05/2025 15.30.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
19/05/2025 10.15.00,Banjir,Trenggalek Kabupaten,Hujan,RENDAH
18/05/2025 10.00.00,Banjir,Gresik Kabupaten,Hujan,SEDANG
18/05/2025 10.00.00,Banjir,Lamongan Kabupaten,Hujan Lebat,SEDANG
17/05/2025 21.00.00,Banjir,Tuban Kabupaten,Hujan,SEDANG
17/05/2025 16.30.00,Banjir,Nganjuk Kabupaten,Hujan,RENDAH
17/05/2025 15.30.00,Banjir dan Tanah Longsor,Ponorogo Kabupaten,Hujan Sedang,RENDAH
17/05/2025 13.00.00,Banjir,Trenggalek Kabupaten,Hujan,SEDANG
17/05/2025 12.00.00,Banjir Rob,Gresik Kabupaten,Hujan,RENDAH
17/05/2025 11.00.00,Banjir,Bojonegoro Kabupaten,Hujan Ringan,SEDANG
17/05/2025 03.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,SEDANG
17/05/2025 03.00.00,Banjir,Sampang Kabupaten,Hujan Lebat,SEDANG
17/05/2025 03.00.00,Banjir,Jombang Kabupaten,Hujan lebat,SEDANG
16/05/2025 18.00.00,Banjir Bandang,Kediri Kabupaten,Hujan Lebat,SEDANG
15/05/2025 20.53.54,Banjir,Tulungagung Kabupaten,Hujan Lebat,RENDAH
15/05/2025 16.00.00,Banjir,Blitar Kota,Hujan Sedang - Lebat,SEDANG
15/05/2025 16.00.00,Banjir dan Tanah Longsor,Ponorogo Kabupaten,Hujan Lebat,RENDAH
15/05/2025 03.00.00,Banjir,Lamongan Kabupaten,Hujan lebat,RENDAH
14/05/2025 19.15.00,Banjir,Jombang Kabupaten,Hujan Sedang,RENDAH
14/05/2025 15.30.00,Banjir,Tulungagung Kabupaten,Hujan Sedang,RENDAH
14/05/2025 15.30.00,Banjir,Kediri Kabupaten,Hujan Lebat,SEDANG
